,2018,2019,2020,2021,2022,2023,total
AAPL,415,380,333,381,3370,5832,10711
MSFT,324,345,216,163,2773,6096,9917
TSLA,179,136,182,157,3282,5614,9550
DIS,194,1117,2175,1755,1940,2114,9295
NVDA,168,115,65,779,2387,5690,9204
GOOG,146,1639,1688,1486,1887,2335,9181
WMT,288,1387,2045,1497,1904,1850,8971
INTC,1855,1043,1115,1242,1421,2162,8838
AMD,964,912,857,848,1875,2218,7674
CVX,899,807,1089,995,1800,2079,7669
XOM,255,548,1327,1264,1988,2026,7408
T,1319,1109,1227,1219,1167,1185,7226
GS,826,584,1038,1451,1452,1779,7130
BA,770,1345,2037,749,1035,535,6471
AMZN,203,154,101,117,275,4919,5769
WFC,868,719,995,873,868,1202,5525
PYPL,636,520,662,1302,1108,1206,5434
MRK,833,650,667,898,1099,1000,5147
KO,678,827,684,564,980,1318,5051
GE,1259,728,836,700,604,767,4894
MS,580,333,695,903,1034,1256,4801
CRM,564,433,555,769,882,1489,4692
NKE,693,553,688,747,938,1000,4619
V,552,454,601,714,913,1233,4467
MU,1357,502,379,558,754,907,4457
COST,563,448,647,532,1088,1174,4452
QCOM,748,596,534,583,847,1086,4394
ABBV,600,440,503,561,828,982,3914
GILD,652,328,1318,405,546,507,3756
CMCSA,722,510,578,537,630,762,3739
OXY,353,449,620,371,978,845,3616
WBA,449,410,480,590,639,806,3374
ADBE,517,334,338,425,626,1126,3366
CAT,864,406,281,372,503,933,3359
COP,590,519,406,339,837,666,3357
PEP,424,303,371,465,708,1012,3283
AMGN,587,550,387,340,571,781,3216
ABT,312,490,590,440,609,767,3208
ORCL,446,297,500,463,499,845,3050
NEE,470,326,403,322,607,824,2952
FDX,382,335,413,418,694,645,2887
CMG,364,336,363,368,497,765,2693
UPS,315,235,403,406,581,701,2641
TGT,85,75,51,73,1215,1090,2589
BIIB,385,274,383,487,468,516,2513
AMT,936,371,163,257,324,432,2483
TMUS,341,297,404,369,449,612,2472
VRTX,253,217,268,337,658,663,2396
BX,277,200,256,465,525,639,2362
EBAY,435,325,364,467,348,335,2274
PANW,234,175,149,189,483,948,2178
ANET,194,163,140,120,478,1081,2176
AMAT,426,178,201,364,390,613,2172
ALB,159,125,148,235,730,742,2139
HAL,336,236,304,245,450,538,2109
KKR,160,126,323,509,450,514,2082
ON,160,201,770,133,305,501,2070
TXN,363,217,180,279,465,565,2069
DE,290,154,120,285,460,736,2045
ENPH,70,93,219,323,573,767,2045
USB,354,367,248,199,323,547,2038
DVN,223,134,184,210,630,633,2014
EA,346,356,286,358,357,310,2013
BBY,381,254,282,310,370,306,1903
BKNG,183,190,270,264,367,629,1903
KHC,289,267,213,212,336,515,1832
NOC,334,158,126,157,483,507,1765
ULTA,269,197,213,168,423,476,1746
DPZ,300,217,285,226,273,439,1740
TTWO,297,251,231,265,367,327,1738
EOG,382,148,172,201,394,432,1729
ACN,224,141,192,285,381,496,1719
UNP,281,199,146,213,409,455,1703
GIS,269,214,170,146,425,472,1696
MSCI,275,157,131,199,378,532,1672
TMO,338,159,184,180,296,497,1654
DLTR,236,166,162,215,538,333,1650
TSCO,106,76,242,389,425,405,1643
VLO,142,53,169,187,544,547,1642
TJX,325,160,212,179,234,502,1612
WDC,501,287,154,165,208,247,1562
DUK,344,157,175,162,318,404,1560
NUE,238,122,122,270,357,442,1551
FSLR,180,136,165,181,316,566,1544
ADI,194,86,110,172,577,404,1543
NEM,146,219,238,198,270,452,1523
HPQ,240,153,171,171,386,380,1501
TSN,172,147,277,220,363,319,1498
ADM,219,160,93,167,513,338,1490
D,379,173,181,146,269,324,1472
CI,239,166,129,169,330,433,1466
FANG,188,153,194,179,388,360,1462
APA,193,156,263,178,321,302,1413
DAL,88,41,32,31,151,1065,1408
PSX,52,30,187,192,482,457,1400
FTNT,234,164,110,113,305,461,1387
HUM,217,112,127,137,315,478,1386
DHI,292,132,136,119,276,428,1383
EXPE,237,179,241,236,218,261,1372
PGR,371,164,64,116,252,403,1370
CSX,295,158,95,138,392,292,1370
NOW,113,98,135,161,273,586,1366
DHR,199,229,167,146,216,390,1347
IBM,291,358,183,141,164,204,1341
ALGN,309,152,138,143,205,371,1318
PNC,237,107,170,126,228,445,1313
CAG,227,135,98,147,269,436,1312
DXCM,88,127,172,133,243,544,1307
PFE,229,292,169,132,229,229,1280
PLD,193,89,94,105,410,389,1280
CME,233,154,158,191,222,316,1274
AIG,272,120,168,157,224,319,1260
MTCH,193,137,142,293,246,239,1250
TRV,213,132,138,136,311,316,1246
CF,335,88,62,119,342,293,1239
MOS,258,140,94,120,394,233,1239
APO,98,123,178,273,245,320,1237
BK,148,127,154,187,263,356,1235
WDAY,194,147,142,149,166,427,1225
PCG,179,259,155,131,166,331,1221
HPE,242,140,145,141,262,288,1218
BSX,161,123,121,164,189,452,1210
PHM,201,80,99,90,237,498,1205
CPB,234,154,140,131,262,282,1203
DRI,320,157,183,118,138,285,1201
HAS,224,183,174,159,233,223,1196
KMB,191,131,146,152,219,344,1183
CLX,129,86,249,167,191,343,1165
CL,157,129,132,152,217,368,1155
EL,207,141,89,112,231,374,1154
ROST,279,86,99,99,226,345,1134
CAH,121,100,113,150,205,430,1119
JPM,211,314,136,85,149,215,1110
TAP,172,218,185,133,116,282,1106
COF,172,104,162,159,173,328,1098
SWKS,195,168,147,204,176,203,1093
PRU,139,91,168,177,236,281,1092
ADSK,158,144,120,214,233,219,1088
NDAQ,110,80,215,200,212,268,1085
APD,216,84,88,104,234,359,1085
RL,212,148,109,119,192,302,1082
NSC,182,124,74,135,254,311,1080
CDNS,116,94,64,60,361,385,1080
URI,219,94,69,83,295,302,1062
CZR,79,87,182,192,191,309,1040
ICE,138,81,170,181,221,248,1039
EQT,122,79,99,130,313,277,1020
EFX,113,293,70,71,219,254,1020
OKE,152,108,166,103,198,291,1018
CHTR,127,106,132,139,184,317,1005
GM,118,81,108,131,189,371,998
TPR,99,93,145,121,284,235,977
HCA,146,78,113,105,198,328,968
CCI,129,111,77,134,216,290,957
KEY,150,70,85,92,145,407,949
JNJ,180,285,131,80,112,157,945
SYK,257,104,66,99,163,250,939
MTB,190,116,73,87,218,252,936
PCAR,202,79,57,99,156,339,932
EMR,139,104,75,102,217,286,923
SYY,159,95,101,83,306,179,923
AEP,144,101,76,88,285,225,919
NTAP,288,90,98,97,166,176,915
PAYX,234,99,78,104,202,197,914
HRL,128,103,96,117,231,234,909
CFG,139,76,77,96,185,324,897
PSA,168,76,72,89,241,241,887
MNST,163,147,74,91,136,267,878
EW,192,113,66,76,155,270,872
AKAM,123,83,107,137,117,304,871
ETN,128,69,53,81,178,361,870
HOLX,70,58,65,67,140,469,869
HSIC,117,46,43,56,331,275,868
AFL,152,97,82,78,177,280,866
NRG,161,86,68,104,183,257,859
CMI,137,92,76,116,206,223,850
BAX,192,75,82,116,174,206,845
PEG,304,107,51,64,121,196,843
CBOE,155,62,92,85,172,267,833
SWK,109,97,80,111,190,232,819
INCY,189,104,133,103,138,151,818
FAST,183,116,57,73,159,229,817
TROW,182,58,62,124,187,204,817
ED,103,78,95,106,179,256,817
DVA,95,90,75,70,113,374,817
ALL,118,77,105,132,186,198,816
GWW,231,76,39,48,169,248,811
WSM,119,59,86,109,257,180,810
EXC,201,117,68,102,127,194,809
BG,105,57,81,117,221,220,801
DECK,146,81,44,65,92,372,800
MSI,227,104,51,75,92,246,795
GRMN,176,107,72,103,160,172,790
ORLY,132,85,69,75,167,244,772
FITB,149,91,68,69,135,243,755
BEN,110,62,94,100,196,189,751
DGX,82,51,159,103,190,159,744
XEL,123,111,78,79,146,202,739
CHRW,160,81,49,58,251,133,732
AEE,207,81,44,60,143,195,730
ACGL,57,67,40,44,209,309,726
GLW,146,98,74,107,131,169,725
WELL,134,82,81,56,116,245,714
ARE,105,59,57,80,179,229,709
ZTS,104,67,87,95,146,210,709
RSG,98,97,97,92,148,170,702
AON,91,71,71,158,113,190,694
BRO,145,73,45,72,149,208,692
CINF,69,64,69,54,204,231,691
ATO,78,52,56,72,169,263,690
AES,142,71,78,79,143,175,688
PH,163,57,46,72,107,243,688
ODFL,117,54,41,64,177,233,686
FIS,66,109,69,91,140,207,682
HBAN,98,67,85,67,166,193,676
GPN,75,86,77,101,146,186,671
HIG,97,70,72,116,170,139,664
APTV,137,61,42,85,104,233,662
CNP,160,71,64,93,116,158,662
EXR,119,47,44,47,245,158,660
NVR,130,72,53,62,142,197,656
VICI,54,39,48,75,161,279,656
ROP,142,77,50,59,157,169,654
CTSH,123,71,95,90,126,138,643
ECL,132,78,75,70,103,183,641
GNRC,49,35,53,90,186,226,639
BR,193,38,47,66,102,184,630
ETR,83,56,51,90,152,197,629
AME,181,84,41,58,99,162,625
NWSA,64,57,72,131,122,172,618
COO,102,57,83,88,120,165,615
ROK,95,91,63,72,104,186,611
DOV,128,106,58,60,133,126,611
ZBRA,84,85,74,64,140,159,606
VMC,98,54,63,87,97,203,602
DTE,148,51,48,60,163,132,602
EIX,94,91,56,79,116,165,601
PWR,70,72,47,69,160,181,599
ES,143,61,64,62,117,149,596
AIZ,74,40,42,52,148,226,582
ZBH,59,63,56,74,98,227,577
KIM,142,56,61,70,114,134,577
FRT,54,49,68,62,158,177,568
PKG,86,50,41,47,201,141,566
WY,98,58,52,82,164,100,554
LDOS,64,62,80,86,85,175,552
BXP,76,75,55,47,117,180,550
EQR,74,71,60,48,162,132,547
VTR,119,77,74,51,79,144,544
APH,131,66,52,75,93,125,542
RMD,117,61,71,82,87,122,540
WAB,76,84,51,67,101,160,539
AVGO,103,96,53,67,95,125,539
HST,100,45,48,40,168,138,539
EMN,122,48,39,63,122,139,533
FDS,92,54,54,80,142,105,527
NTRS,150,55,49,52,98,121,525
FFIV,74,63,83,88,108,106,522
CMS,115,58,42,65,109,131,520
ALLE,60,36,39,47,101,235,518
PNW,72,87,40,61,119,139,518
LLY,92,58,45,64,95,163,517
TRGP,75,71,46,38,154,128,512
CPRT,118,67,40,53,72,158,508
ROL,42,54,46,46,127,185,500
POOL,81,30,51,82,127,126,497
FICO,36,32,44,86,133,166,497
UHS,94,43,57,59,104,138,495
XYL,81,41,36,46,96,191,491
PFG,78,57,62,77,99,116,489
TER,93,40,67,78,90,114,482
REGN,66,39,57,43,76,179,460
VST,36,41,42,63,101,174,457
GDDY,66,45,43,58,75,160,447
AXP,81,45,51,64,86,116,443
LMT,68,40,30,48,130,125,441
NDSN,59,40,31,50,134,111,425
ESS,81,32,41,37,100,133,424
FTV,89,46,42,45,69,128,419
AVY,90,51,45,57,72,104,419
PNR,56,39,49,63,78,132,417
TRMB,54,39,30,58,86,132,399
WST,48,30,41,41,95,135,390
LOW,67,45,34,58,76,99,379
WAT,47,53,44,31,64,104,343
LRCX,58,40,41,65,57,76,337
VRSN,43,42,33,52,71,96,337
DOC,39,39,36,38,48,62,262
